barrio, Venta
barrio suramericano estadio,1
santa cruz,3
barrio triste,2
los angeles,5
buenos aires medellín,2
los olivos,1
señorial,1
via marinilla,1
el poblado santa maria de los angeles,1
la asomadera,3
simón bolivar medellin,1
laureles santa teresita,4
edificio turkeza,1
calasanz parte baja,1
cuidad del rio,3
l a america,1
conjunto residencial uno sur,1
robledo el diamante,3
el poblado clinica medellin,1
balsos,5
la superior,1
el caampestre,1
el tesoro parte alta el poblado,1
ed el patio,1
la playa en el centro de medellín,1
el diamante ii,2
la aldea,1
los ángeles,1
monteclaro,1
el campestre poblado,2
poblado transversal superior,1
laureles bolivariana,1
poblado tomatera,1
centro centro,1
laureles av nutibara,1
san julian,3
el poblado la tomatera,4
pobladp provenza,1
la santas,2
el poblado la inferior,1
los gonzalez el poblado,1
loma de san julián el poblado,1
laureles la camelia,1
las palmas el poblado,1
el poblado patio bonito,3
poblado los parra,2
centro prado,1
obelisco,1
poblado la tomatera,3
mallorca,2
los balsos ii,1
el poblado sur,1
envigado zuñiga,1
el inter,1
el bosque,1
aguacatala 2,1
poblado campestre drive inn,2
velódromo los olivos,1
alejandría el poblado,2
las lomas nro 1,1
poblado alto,3
el campetre la toja,1
robledo pilarica,2
sta maria de los angeles,1
poblado loma los balsos,3
laureles sector pepe ganga,1
envigado ayurá,1
san lucas medellín,1
poblado lv,1
cumbres,2
envigado loma del chocho,1
el esmeraldal,4
los parras,2
bosques de zuiga,1
cantagirone due,2
el poblado oviedo,1
edificio molinos del marquez,1
la linde poblado,2
montesori,2
astorga parque del poblado,1
calasania,4
sabaneta loma san jose,1
las brisas,5
belen rodeo alto,1
san german tierra firme,5
guayabal comuna 15,1
santa maría itagui,1
caunces de oriente,1
boston centro,1
villas del sol,3
asomadera 1,1
el poblado loma de san julian,1
floresta pradera,4
loma de san julián,2
belen loma los bernal,2
pilarica noroccidente,13
barichara,1
medelln loma del indio,1
loma el indio,3
poblado frontera,3
loma los bernales,2
palmitas,1
los colores noroccidente,7
doce de octubre,12
barrio enciso,1
cabañas,1
asomadera i,5
rodeo alto la hondonada,1
manrique central i,2
los alcázares,1
comuna 13 san javier,1
san isidro,1
estación villa,1
las playas,3
la mansión,3
manrique central n  1,2
comuna 12 la america,1
bermejal los alamos,1
colón,3
belencito,2
niquia quitasol,1
sabaneta las lomitas,4
rionegro,3
santa monica i,2
sabaneta la doctora,1
centro oriental,1
parque de belen,1
flor,1
itagui suramerica,1
itagí,3
calazania,2
boyaca,1
santa maría de los angeles,1
la calendaria,1
suramerica itagui,1
sur occidente,2
niquia,2
bello niquia,1
tierra firme,6
loma del indio el poblado,6
aldea,1
santa ana,1
llano grande,1
copacabana,1
nueva villa de aburra,3
ferrini,1
copacabana antioquia,1
sur san diego,2
civita,1
calasanz mall santa ana,3
poblado loma del indio,1
la floresta occidente,2
córdoba,2
poblado sector manila,1
el poblado loma el indio,1
barrio perez bello ant,1
bello guasimalito ,1
la estrella ,1
san javier no 1,3
san german robledo,1
via autopista medellin bogota,1
las americas,2
itagui,3
las palmas country club el poblado,2
santa maría,1
san antonios de prado,1
barrio perez bello,1
centro bombona,1
laureles simón bolívar,1
barrio trinidad,1
itagui ,2
occidente la floresta,3
belen fátima,1
intercontinental,3
sabaneta medellín antioquia,1
oriente milagrosa,1
la consolata,1
rodeo,1
robledo fuente clara,1
manrique las esmeraldas,1
los colores occidente,2
palmas,2
retiro,1
altamira robledo,1
belen la nubia,5
el rincón,1
poblado loma de los gonzalez,1
la cuenca,4
el porvenir ,1
belalcázar,1
belen los alpinos,1
unidad aura,1
pablo tobon uribe,1
la paz,1
buenos aires 8 de marzo,2
alto de palmas,1
bombona nro 1,2
palenque,4
centro prado centro,1
robledo la pola,3
santa ines,1
norteamerica,1
robledo bello horizonte,1
la mina,2
san jose,1
sector ces,1
loma del barro,1
calasanz medellín,1
la mansion,2
la inmaculada,2
envigado esmeraldal,1
edificio square,5
mirador bello,1
la a merica,1
pradito,1
santa mónica 2,1
altas de las palmas,1
suramericana estadio medellín,1
laureles la castellana,2
loma del indio palmas,2
las esmeraldas,2
la 80,1
laureles nogal medellín,1
centroccidental conquistadores,1
los colegios  rionegro,1
santa monica ii,1
sur oriente park 10,1
el castillo poblado,1
perpetuo socorro,1
comuna 9 buenos aires,2
comuna 5 castilla,1
zona rosa,2
el nogal los almendros,1
barrio facultad de minas,2
las lomas n1,1
cataluña,2
tejelo,1
los cerros el vergel,1
toscana,3
torres del rio,1
robledo mirador de pilarica,1
america danubio,1
prado centro medellín,2
medellin la frontera,1
barrio niza,1
laureles santa gema,2
belen vicuña,1
av las palmas,2
f gómez,1
loma los balsos,3
florida nueva occidente,3
castellana occidente,2
avenida del poblado,1
transversal superior el poblado,1
sabaneta ,1
poblado balsos 2,2
loma del indio suroriente,1
belen nogales,1
laureles mall laureles,1
san diego el poblado,2
bosketo,1
belen vicuña,1
el poblado loma de encierro,1
laureles almería,1
itagui santamaria ,1
santa monica 2,1
sandiego,1
sur oriente san diego,3
envigado mugá ,1
tocasna,1
villahermos,3
el portal,1
calasanz la floresta,1
belen porvenir,1
villa de la aburra,1
altos de poblado,1
almerias,2
belen malibu,1
belen las margaritas,4
belen las violetas,1
belen fatima malibu,1
belen la inmaculada,1
el carrusel,1
el poblado sector la aguacatala,1
ciudad del rio poblado,1
el poblado los yarumos,1
rafael uribe uribe,1
poblado santa maría de los ángeles,2
medellin pedregal,1
calle larga,1
municipio rio negro,1
el poblado lalinde,3
itagi,1
belen malibu 2,1
almería,1
occidente naranjal,1
barrio palmas,1
juan 23,1
centro salvador,1
occidente pilarica,1
san mateo,1
bello navarra,1
el chocho,1
loma del chocho,1
las orquideas,1
san jeronimo,1
floresta parque,1
alto de las flores,1
otraparte,1
poblado loma marianito,1
las cabañas,1
los balsos il,1
la frontera con la inferior,1
belen nogal,1
los gonzales,3
poblado los balsos n 1,2
centro la candelaria,1
san michel,1
aurora de la libertad,1
loma cola del zorro,1
comuna 10 la candelaria,1
las lomas ii,1
la playa,3
el poblado sector bagatela,1
poblado balsos con la inferir,1
loma del tesoro,2
el tesoro poblado medellin,1
viscaya,2
oviedo el poblado,1
la frontera poblado,1
sur poblado la calera,1
poblado sector oviedo,1
poblado entre los balsos y los gonzalez,1
loma de los gonzales,1
el poblado astorga,1
poblado cola del zorro,1
los gonzález,1
poblado loma de los balsos,1
loma de los balsos superior,1
parte alta de patio bonito,1
campestre,1
loma el campestre,1
poblado loma lalinde,1
laureles medellín,1
el tesoro poblado,2
el poblado las palmas,2
transversal intermedia,1
el poblado las lomas,1
san javier el departamento,1
poblado las lomas 1,1
provincia,1
las lomas n 1,1
occidente florida nueva,1
poblado interlomas,1
sur poblado la frontera,1
poblado las santas,1
san joaquín lv,1
poblado sta maria de los angeles,1
sur oriente oviedo,1
el poblado alejandría,1
poblado loma del encierro,1
marymount,1
balsos parte alta,1
sector campestre,1
el poblado san fernando,1
el tesoro el poblado,1
edificio cinqueterre,1
santa clara,1
poblado oa,1
el poblado la calera,1
ed cantagirone due,1
loma los parras,1
andalucia la francia,1
bosque verde,1
parque de las chimeneas,1
sector 7 lunas luna del mar,1
santa mónica medellín,1
santa margarita,7
robledo pajarito medellín,1
la aurora,3
la campiña,3
picacho,1
caldas,2
trópico,1
carmelo,1
robledo villa sofía,1
metropolitano,1
zona industrial 7,1
caldas antioquia,1
el pedregal,1
camponuevo,1
las estancias,1
altos de las palmas,1
santa rita san antonio de prado,1
buenos aires suroriente,1
villa loma san antonio de prado ,1
popular 2,1
ed mejias,1
robledo aurora,1
santo domingo savio nro 1,1
el progreso,1
zona norte,1
robledo santa maria,1
occidente robledo,2
las margaritas,1
moravia,1
robledo villa sofa,2
robledo las margaritas,1
san miguel,1
parque recidencial los guaduales,2
8 de marzo,1
manchester,1
simesa,2
